Results written: Wed Feb  4 18:51:18 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02052876
Contributions  0.02052876
Restraints     0.00000000
Chi2           3.57608007
Reduced Chi2   0.01436177
Rw             0.14327862

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_V195_Phase0   7.17229431e-01 +/- 2.17144206e+09
x_V196_Phase0   7.87173014e-01 +/- 1.87215743e+09
x_V197_Phase0   2.13103095e-01 +/- 1.45131745e+09
x_V198_Phase0   7.13905215e-01 +/- 2.14128827e+09
x_V199_Phase0   2.85654881e-01 +/- 1.79323186e+09
x_V1_Phase0     9.56300300e-01 +/- 2.20100737e+09
x_V201_Phase0   7.00155251e-01 +/- 2.15890005e+09
x_V203_Phase0   2.08015197e-01 +/- 1.43796376e+09
x_V206_Phase0   7.06770265e-01 +/- 2.12731489e+09
x_V207_Phase0   2.93172009e-01 +/- 1.57850856e+09
x_V20_Phase0    6.20785158e-01 +/- 2.12796738e+09
x_V212_Phase0   9.64714508e-01 +/- 2.18069383e+09
x_V213_Phase0   3.49565481e-02 +/- 3.78007877e+08
x_V214_Phase0   4.08706360e-02 +/- 4.22288806e+08
x_V26_Phase0    1.21606529e-01 +/- 9.13434235e+08
x_V28_Phase0    6.19375616e-01 +/- 2.05547794e+09
x_V2_Phase0     4.52659690e-01 +/- 1.63465473e+09
x_V34_Phase0    4.64308662e-01 +/- 1.63538485e+09
x_V35_Phase0    5.35735561e-01 +/- 1.58873157e+09
x_V3_Phase0     5.47392798e-01 +/- 1.70365272e+09
x_V42_Phase0    1.98213121e-01 +/- 1.32147272e+09
x_V43_Phase0    8.01588718e-01 +/- 1.98019950e+09
x_V45_Phase0    2.99608156e-01 +/- 1.82923075e+09
x_V48_Phase0    3.67824240e-02 +/- 3.38277524e+08
x_V49_Phase0    9.62969247e-01 +/- 1.35044358e+09
x_V4_Phase0     9.59462736e-01 +/- 2.13758036e+09
x_V50_Phase0    4.62472629e-01 +/- 1.63621010e+09
x_V51_Phase0    5.37607037e-01 +/- 1.97753510e+09
x_V52_Phase0    9.63341578e-01 +/- 1.46397729e+09
x_V53_Phase0    3.68243631e-02 +/- 3.50930979e+08
x_V54_Phase0    5.37815132e-01 +/- 1.78585982e+09
x_V55_Phase0    4.62185073e-01 +/- 1.74224870e+09
x_V5_Phase0     4.05248266e-02 +/- 3.79078258e+08
x_V67_Phase0    4.60207794e-01 +/- 2.03192624e+09
x_V6_Phase0     5.40413453e-01 +/- 1.70980687e+09
x_V72_Phase0    2.01357467e-01 +/- 1.34732808e+09
x_V73_Phase0    7.98672803e-01 +/- 1.56961048e+09
x_V74_Phase0    3.05205755e-01 +/- 1.66737436e+09
x_V76_Phase0    8.04225848e-01 +/- 1.92578321e+09
x_V78_Phase0    6.98024107e-01 +/- 1.61896346e+09
x_V79_Phase0    3.02159596e-01 +/- 1.82373413e+09
