Results written: Thu Feb  5 00:19:55 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01870964
Contributions  0.01870964
Restraints     0.00000000
Chi2           3.25919173
Reduced Chi2   0.00499111
Rw             0.13678319

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O7_Phase0     4.59324710e-01 +/- 3.25129084e+13
x_O96_Phase0    9.85285158e-02 +/- 1.76278766e+13
x_O97_Phase0    9.01471484e-01 +/- 3.19084943e+13
x_O98_Phase0    4.02467716e-01 +/- 3.17132500e+13
x_O99_Phase0    5.97532284e-01 +/- 3.28917268e+13
x_V0_Phase0     4.34531758e-02 +/- 8.87637116e+12
x_V100_Phase0   8.74012002e-01 +/- 2.50243469e+13
x_V101_Phase0   1.26190949e-01 +/- 2.04694832e+13
x_V102_Phase0   6.29305460e-01 +/- 2.61363435e+13
x_V103_Phase0   3.70671565e-01 +/- 3.00314720e+13
x_V119_Phase0   7.94469297e-01 +/- 3.38860416e+13
x_V120_Phase0   1.34434383e-01 +/- 2.10387490e+13
x_V121_Phase0   8.65522783e-01 +/- 2.52616643e+13
x_V122_Phase0   3.66382571e-01 +/- 1.95030558e+13
x_V123_Phase0   6.33643173e-01 +/- 3.31353670e+13
x_V124_Phase0   8.67386945e-01 +/- 3.36228621e+13
x_V125_Phase0   1.32665246e-01 +/- 2.30014256e+13
x_V126_Phase0   6.29217655e-01 +/- 2.62397043e+13
x_V127_Phase0   3.70706491e-01 +/- 2.55327602e+13
x_V12_Phase0    2.80574538e-01 +/- 3.00303430e+13
x_V131_Phase0   1.25829184e-01 +/- 2.19751651e+13
x_V132_Phase0   1.25483562e-01 +/- 2.29331287e+13
x_V133_Phase0   8.74516438e-01 +/- 3.37283430e+13
x_V138_Phase0   7.94690483e-01 +/- 3.36167117e+13
x_V139_Phase0   2.05309517e-01 +/- 2.82312377e+13
x_V13_Phase0    7.19398941e-01 +/- 3.28872409e+13
x_V140_Phase0   7.04037438e-01 +/- 3.36070167e+13
x_V141_Phase0   2.95933602e-01 +/- 3.04078955e+13
x_V144_Phase0   2.87328476e-02 +/- 5.58159435e+12
x_V145_Phase0   9.71331117e-01 +/- 3.24336138e+13
x_V146_Phase0   4.75959929e-01 +/- 2.56084633e+13
