Results written: Wed Mar  4 11:34:11 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01628370
Contributions  0.01628370
Restraints     0.00000000
Chi2           3.34422209
Reduced Chi2   0.00500632
Rw             0.12760759

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_V75_Phase0    6.95068095e-01 +/- 7.35365382e+12
x_V76_Phase0    8.04069793e-01 +/- 7.35661526e+12
x_V77_Phase0    1.95928259e-01 +/- 5.93951108e+12
x_V78_Phase0    6.98385122e-01 +/- 6.53810301e+12
x_V79_Phase0    3.01615974e-01 +/- 6.13211290e+12
x_V7_Phase0     4.58646306e-01 +/- 6.31981926e+12
x_V82_Phase0    9.68628410e-01 +/- 7.01387729e+12
x_V83_Phase0    3.14189020e-02 +/- 1.43997215e+12
x_V84_Phase0    3.13167857e-02 +/- 1.30693471e+12
x_V85_Phase0    9.68683773e-01 +/- 6.89253018e+12
x_V91_Phase0    3.71233606e-01 +/- 6.89019110e+12
x_V96_Phase0    1.28623114e-01 +/- 4.55218696e+12
x_V97_Phase0    8.71386720e-01 +/- 6.69789699e+12
x_V98_Phase0    3.70794689e-01 +/- 6.37427879e+12
x_V99_Phase0    6.29205601e-01 +/- 6.62118564e+12
x_V9_Phase0     7.84979532e-01 +/- 6.90495643e+12
x_ZR0_Phase0    1.10587968e-03 +/- 4.93855129e+10
x_ZR100_Phase0  5.01756040e-01 +/- 5.49978204e+12
x_ZR101_Phase0  4.98454016e-01 +/- 6.14713262e+12
x_ZR102_Phase0  4.95028273e-01 +/- 5.05949791e+12
x_ZR103_Phase0  5.03081743e-01 +/- 5.82575305e+12
x_ZR104_Phase0  4.97402294e-04 +/- 2.30419435e+10
x_ZR105_Phase0  9.99487349e-01 +/- 6.05564533e+12
x_ZR106_Phase0  9.98047532e-01 +/- 5.82037930e+12
x_ZR107_Phase0  2.08647696e-03 +/- 1.08319526e+11
x_ZR10_Phase0   9.93593368e-01 +/- 4.99038504e+12
x_ZR11_Phase0   6.62488843e-03 +/- 3.23651878e+11
x_ZR12_Phase0   2.72158040e-03 +/- 1.23799548e+11
x_ZR13_Phase0   9.97166851e-01 +/- 5.95297579e+12
x_ZR14_Phase0   5.03874889e-01 +/- 5.57979671e+12
x_ZR15_Phase0   4.96911510e-01 +/- 5.74863666e+12
x_ZR16_Phase0   3.37622756e-01 +/- 5.11200042e+12
x_ZR17_Phase0   6.62783586e-01 +/- 5.51354531e+12
x_ZR18_Phase0   6.62526623e-01 +/- 5.50296607e+12
x_ZR19_Phase0   3.37470076e-01 +/- 5.10920031e+12
x_ZR1_Phase0    9.99064781e-01 +/- 5.38777766e+12
x_ZR20_Phase0   8.34481436e-01 +/- 5.99830436e+12
x_ZR21_Phase0   1.65435576e-01 +/- 4.67236099e+12
