Results written: Fri Feb  6 15:33:02 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01897342
Contributions  0.01809320
Restraints     0.00088021
Chi2           2.86476923
Reduced Chi2   0.00438709
Rw             0.13765541

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_V121_Phase0   8.65170824e-01 +/- 3.09838838e+13
x_V122_Phase0   3.66232776e-01 +/- 3.44887890e+13
x_V123_Phase0   6.33718365e-01 +/- 4.12097441e+13
x_V124_Phase0   8.67297623e-01 +/- 4.12948352e+13
x_V125_Phase0   1.32764560e-01 +/- 2.72547638e+13
x_V126_Phase0   6.29366324e-01 +/- 3.20820175e+13
x_V127_Phase0   3.70530160e-01 +/- 3.14865530e+13
x_V12_Phase0    2.80643822e-01 +/- 3.56737195e+13
x_V131_Phase0   1.25957855e-01 +/- 2.79790369e+13
x_V132_Phase0   1.25476279e-01 +/- 2.52731063e+13
x_V133_Phase0   8.74536561e-01 +/- 4.13087492e+13
x_V138_Phase0   7.94704077e-01 +/- 4.14643412e+13
x_V139_Phase0   2.05285948e-01 +/- 3.43087400e+13
x_V13_Phase0    7.19325060e-01 +/- 4.06129102e+13
x_V140_Phase0   7.03970429e-01 +/- 4.14722284e+13
x_V141_Phase0   2.95997818e-01 +/- 3.73009724e+13
x_V144_Phase0   2.86559348e-02 +/- 7.27248060e+12
x_V145_Phase0   9.71357957e-01 +/- 4.00368192e+13
x_V146_Phase0   4.75991742e-01 +/- 3.14117521e+13
x_V147_Phase0   5.23995767e-01 +/- 3.17275350e+13
x_V148_Phase0   9.79808979e-01 +/- 2.30107862e+13
x_V149_Phase0   2.02203559e-02 +/- 5.55561781e+12
x_V150_Phase0   5.28929347e-01 +/- 4.08055594e+13
x_V151_Phase0   4.70954751e-01 +/- 2.79091597e+13
x_V153_Phase0   6.28363364e-01 +/- 4.16144060e+13
x_V158_Phase0   6.31420919e-01 +/- 3.77056635e+13
x_V161_Phase0   9.53736540e-01 +/- 4.02068154e+13
x_V168_Phase0   3.64608191e-02 +/- 8.47113149e+12
x_V169_Phase0   9.63383602e-01 +/- 3.31780660e+13
x_V170_Phase0   4.58368420e-01 +/- 3.19628185e+13
x_V171_Phase0   5.41606179e-01 +/- 3.20516338e+13
x_V172_Phase0   9.63698992e-01 +/- 2.56538880e+13
x_V173_Phase0   3.59865873e-02 +/- 8.86635307e+12
x_V174_Phase0   5.37044872e-01 +/- 3.35537534e+13
x_V175_Phase0   4.62955194e-01 +/- 3.29356118e+13
x_V185_Phase0   6.30907434e-01 +/- 4.14439675e+13
x_V192_Phase0   2.10775549e-01 +/- 2.68659018e+13
x_V193_Phase0   7.89149442e-01 +/- 3.70261399e+13
x_V194_Phase0   2.82560023e-01 +/- 2.84233762e+13
x_V195_Phase0   7.17327748e-01 +/- 4.15473643e+13
x_V196_Phase0   7.86985141e-01 +/- 3.64505504e+13
x_V197_Phase0   2.13207644e-01 +/- 3.22510216e+13
x_V198_Phase0   7.13751714e-01 +/- 4.08442734e+13
x_V199_Phase0   2.85475604e-01 +/- 3.76388570e+13
x_V1_Phase0     9.56227143e-01 +/- 4.15617606e+13
x_V201_Phase0   7.00072274e-01 +/- 4.15689442e+13
x_V203_Phase0   2.08099343e-01 +/- 3.20352792e+13
x_V206_Phase0   7.06769470e-01 +/- 4.04891146e+13
x_V207_Phase0   2.93026376e-01 +/- 3.18939575e+13
x_V20_Phase0    6.20769367e-01 +/- 4.08920862e+13
x_V212_Phase0   9.64686032e-01 +/- 4.10361425e+13
x_V213_Phase0   3.50139903e-02 +/- 8.46519719e+12
x_V214_Phase0   4.09638808e-02 +/- 1.06055428e+13
x_V26_Phase0    1.21519480e-01 +/- 2.51531891e+13
x_V27_Phase0    8.78467909e-01 +/- 3.51635097e+13
x_V28_Phase0    6.19361270e-01 +/- 4.09541674e+13
x_V29_Phase0    3.80642841e-01 +/- 3.89940954e+13
x_V2_Phase0     4.52476827e-01 +/- 3.16809244e+13
x_V34_Phase0    4.64424073e-01 +/- 3.23391094e+13
x_V35_Phase0    5.35631502e-01 +/- 3.21008463e+13
x_V3_Phase0     5.47594455e-01 +/- 3.28073877e+13
x_V42_Phase0    1.98121722e-01 +/- 2.72017338e+13
x_V43_Phase0    8.01638444e-01 +/- 3.73729678e+13
x_V45_Phase0    2.99588299e-01 +/- 3.84028461e+13
x_V48_Phase0    3.69355061e-02 +/- 9.37507664e+12
x_V49_Phase0    9.62846526e-01 +/- 2.66264868e+13
x_V4_Phase0     9.59377192e-01 +/- 4.01068089e+13
x_V50_Phase0    4.62616259e-01 +/- 3.04891183e+13
x_V51_Phase0    5.37521409e-01 +/- 3.78219883e+13
x_V52_Phase0    9.63624028e-01 +/- 2.68596321e+13
x_V53_Phase0    3.67255314e-02 +/- 9.87486053e+12
x_V54_Phase0    5.37642656e-01 +/- 3.34877121e+13
x_V55_Phase0    4.62378471e-01 +/- 3.27079834e+13
x_V5_Phase0     4.07067928e-02 +/- 1.06278860e+13
x_V67_Phase0    4.60179964e-01 +/- 4.06411221e+13
x_V6_Phase0     5.40419131e-01 +/- 3.23075177e+13
x_V72_Phase0    2.01096361e-01 +/- 2.85976611e+13
x_V73_Phase0    7.98946835e-01 +/- 3.06704977e+13
x_V74_Phase0    3.05344220e-01 +/- 3.70886074e+13
x_V75_Phase0    6.94645083e-01 +/- 4.10478397e+13
x_V76_Phase0    8.04350401e-01 +/- 4.15558835e+13
x_V77_Phase0    1.95633185e-01 +/- 3.35515624e+13
x_V78_Phase0    6.98174737e-01 +/- 3.01313890e+13
x_V79_Phase0    3.02076379e-01 +/- 3.80009234e+13
x_V7_Phase0     4.59573073e-01 +/- 3.21807001e+13
x_V82_Phase0    9.68579699e-01 +/- 3.30665032e+13
x_V83_Phase0    3.14299910e-02 +/- 8.85262751e+12
x_V84_Phase0    3.10973455e-02 +/- 9.10054503e+12
x_V85_Phase0    9.68926491e-01 +/- 3.25344996e+13
x_V87_Phase0    4.66652041e-01 +/- 3.73025616e+13
x_V91_Phase0    3.71071141e-01 +/- 3.88874123e+13
x_V96_Phase0    1.28903308e-01 +/- 2.47192060e+13
x_V97_Phase0    8.71113851e-01 +/- 3.08314157e+13
x_V98_Phase0    3.70812151e-01 +/- 3.15300628e+13
x_V99_Phase0    6.28682819e-01 +/- 3.27606829e+13
x_V9_Phase0     7.84988760e-01 +/- 3.71108090e+13
x_ZR0_Phase0    7.75901396e-04 +/- 2.06835208e+11
x_ZR100_Phase0  5.01358970e-01 +/- 3.93077462e+13
x_ZR101_Phase0  4.98540872e-01 +/- 3.93132868e+13
x_ZR102_Phase0  4.94852630e-01 +/- 3.89122224e+13
x_ZR103_Phase0  5.03336134e-01 +/- 3.85797129e+13
x_ZR104_Phase0  4.33972707e-04 +/- 1.10069307e+11
x_ZR105_Phase0  9.99548716e-01 +/- 3.92029482e+13
x_ZR106_Phase0  9.97905660e-01 +/- 3.89770892e+13
x_ZR107_Phase0  2.13063495e-03 +/- 5.68555194e+11
x_ZR10_Phase0   9.93164949e-01 +/- 3.91706248e+13
x_ZR11_Phase0   6.25227891e-03 +/- 1.89286116e+12
x_ZR12_Phase0   2.90745131e-03 +/- 8.24985381e+11
x_ZR13_Phase0   9.96866236e-01 +/- 3.97720924e+13
x_ZR14_Phase0   5.03900639e-01 +/- 3.95832522e+13
