Results written: Sun Mar  1 15:32:38 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01236317
Contributions  0.01236317
Restraints     0.00000000
Chi2           2.30948967
Reduced Chi2   0.00345732
Rw             0.11118980

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O713_Phase0   1.36195205e-01 +/- 6.54314154e+12
x_O714_Phase0   6.36598773e-01 +/- 9.75020282e+12
x_O715_Phase0   3.63401732e-01 +/- 9.14371201e+12
x_O72_Phase0    2.69956323e-02 +/- 1.57717546e+12
x_O732_Phase0   1.99453905e-01 +/- 7.84904462e+12
x_O733_Phase0   8.00546031e-01 +/- 9.84531413e+12
x_O734_Phase0   2.99444906e-01 +/- 8.98886402e+12
x_O735_Phase0   7.00554820e-01 +/- 9.69625204e+12
x_O736_Phase0   7.98917567e-01 +/- 1.00792288e+13
x_O737_Phase0   2.01086357e-01 +/- 7.77736654e+12
x_O738_Phase0   7.01120830e-01 +/- 9.96854696e+12
x_O739_Phase0   2.98860251e-01 +/- 9.06199013e+12
x_O73_Phase0    9.73004413e-01 +/- 9.89383946e+12
x_O744_Phase0   2.54931753e-01 +/- 8.43687083e+12
x_O745_Phase0   7.45069161e-01 +/- 9.87886517e+12
x_O746_Phase0   7.55674604e-01 +/- 9.88931669e+12
x_O747_Phase0   2.44282847e-01 +/- 8.40616484e+12
x_O74_Phase0    4.71645931e-01 +/- 9.54141444e+12
x_O75_Phase0    5.28353867e-01 +/- 9.41930343e+12
x_O76_Phase0    9.72563486e-01 +/- 9.82232374e+12
x_O77_Phase0    2.74363643e-02 +/- 1.80620877e+12
x_O78_Phase0    5.26552969e-01 +/- 9.54860675e+12
x_O79_Phase0    4.73500469e-01 +/- 9.52109933e+12
x_O7_Phase0     4.59410520e-01 +/- 9.44887219e+12
x_O96_Phase0    9.81645189e-02 +/- 4.94114992e+12
x_O97_Phase0    9.01835450e-01 +/- 9.52162815e+12
x_O98_Phase0    4.02513761e-01 +/- 9.22700249e+12
x_O99_Phase0    5.97485956e-01 +/- 9.54490616e+12
x_V0_Phase0     4.37711634e-02 +/- 2.60430476e+12
x_V100_Phase0   8.73513797e-01 +/- 7.96149491e+12
x_V101_Phase0   1.26693496e-01 +/- 5.52491521e+12
x_V102_Phase0   6.29190456e-01 +/- 8.57506818e+12
x_V103_Phase0   3.70532618e-01 +/- 8.72337437e+12
x_V119_Phase0   7.94520534e-01 +/- 9.91351012e+12
x_V120_Phase0   1.34573368e-01 +/- 6.25528600e+12
x_V121_Phase0   8.65424833e-01 +/- 8.38357172e+12
x_V122_Phase0   3.66472669e-01 +/- 8.61166168e+12
x_V123_Phase0   6.33615243e-01 +/- 9.76318427e+12
x_V124_Phase0   8.67390419e-01 +/- 9.87230244e+12
x_V125_Phase0   1.32609789e-01 +/- 6.16077503e+12
x_V126_Phase0   6.29335155e-01 +/- 8.20407570e+12
x_V127_Phase0   3.70601664e-01 +/- 7.87902545e+12
x_V12_Phase0    2.80878998e-01 +/- 8.40938264e+12
x_V131_Phase0   1.26041198e-01 +/- 6.34619217e+12
x_V132_Phase0   1.25951993e-01 +/- 6.30955607e+12
x_V133_Phase0   8.74048174e-01 +/- 9.91046501e+12
x_V138_Phase0   7.94495048e-01 +/- 9.81208061e+12
x_V139_Phase0   2.05504191e-01 +/- 7.86054658e+12
x_V13_Phase0    7.19120711e-01 +/- 9.65026060e+12
x_V140_Phase0   7.04009497e-01 +/- 9.82970966e+12
x_V141_Phase0   2.95955077e-01 +/- 8.99257467e+12
x_V144_Phase0   2.84780171e-02 +/- 1.79261232e+12
x_V145_Phase0   9.71522347e-01 +/- 7.84930064e+12
x_V146_Phase0   4.75878794e-01 +/- 8.27829384e+12
x_V147_Phase0   5.24116903e-01 +/- 8.29354514e+12
x_V148_Phase0   9.78863435e-01 +/- 7.59687014e+12
x_V149_Phase0   2.11306513e-02 +/- 1.20938294e+12
x_V150_Phase0   5.28913296e-01 +/- 8.34343303e+12
x_V151_Phase0   4.71080327e-01 +/- 8.24819960e+12
x_V168_Phase0   3.68069619e-02 +/- 2.34193098e+12
x_V169_Phase0   9.63193879e-01 +/- 7.98329651e+12
x_V170_Phase0   4.57693583e-01 +/- 8.16274218e+12
x_V171_Phase0   5.42305891e-01 +/- 8.21340846e+12
x_V172_Phase0   9.62685660e-01 +/- 8.13849133e+12
x_V173_Phase0   3.71944179e-02 +/- 2.24736773e+12
x_V174_Phase0   5.37420609e-01 +/- 8.57707140e+12
x_V175_Phase0   4.62546742e-01 +/- 8.48558774e+12
x_V192_Phase0   2.10539761e-01 +/- 7.10200499e+12
x_V193_Phase0   7.89459555e-01 +/- 8.27224131e+12
x_V194_Phase0   2.83136172e-01 +/- 7.83739895e+12
x_V195_Phase0   7.16864159e-01 +/- 8.39255702e+12
x_V196_Phase0   7.86905957e-01 +/- 8.32187928e+12
x_V197_Phase0   2.13377167e-01 +/- 7.45180155e+12
x_V198_Phase0   7.14118148e-01 +/- 8.85673287e+12
x_V199_Phase0   2.85362865e-01 +/- 8.88948745e+12
x_V1_Phase0     9.56236547e-01 +/- 9.89746336e+12
x_V206_Phase0   7.06752064e-01 +/- 9.82483469e+12
x_V207_Phase0   2.93222346e-01 +/- 8.50424368e+12
x_V20_Phase0    6.20924846e-01 +/- 9.78470999e+12
x_V213_Phase0   3.50525377e-02 +/- 2.07467161e+12
x_V26_Phase0    1.21795674e-01 +/- 5.48890770e+12
x_V27_Phase0    8.78204471e-01 +/- 8.44265570e+12
x_V2_Phase0     4.52600685e-01 +/- 8.02714586e+12
x_V34_Phase0    4.64207928e-01 +/- 8.06378822e+12
x_V35_Phase0    5.35796062e-01 +/- 8.25474332e+12
x_V3_Phase0     5.47412022e-01 +/- 8.11861518e+12
x_V42_Phase0    1.98612431e-01 +/- 7.46874624e+12
x_V43_Phase0    8.01361802e-01 +/- 9.35577854e+12
x_V45_Phase0    2.99477071e-01 +/- 8.93408553e+12
x_V48_Phase0    3.66210786e-02 +/- 2.26401435e+12
x_V49_Phase0    9.63289464e-01 +/- 8.32384513e+12
x_V4_Phase0     9.59520947e-01 +/- 9.70166271e+12
x_V50_Phase0    4.62395783e-01 +/- 8.36841424e+12
x_V51_Phase0    5.37595231e-01 +/- 9.22316128e+12
x_V52_Phase0    9.63108458e-01 +/- 8.10242801e+12
x_V53_Phase0    3.70007215e-02 +/- 2.41486172e+12
x_V54_Phase0    5.37569152e-01 +/- 8.61593314e+12
x_V55_Phase0    4.62430835e-01 +/- 8.34441850e+12
x_V5_Phase0     4.04473438e-02 +/- 2.43195540e+12
x_V67_Phase0    4.60339450e-01 +/- 9.60181558e+12
x_V6_Phase0     5.41020967e-01 +/- 8.35681217e+12
x_V72_Phase0    2.01214981e-01 +/- 7.06684077e+12
x_V73_Phase0    7.98772810e-01 +/- 8.36884124e+12
x_V74_Phase0    3.04910839e-01 +/- 8.63432510e+12
x_V75_Phase0    6.95088666e-01 +/- 9.78507369e+12
x_V76_Phase0    8.04102530e-01 +/- 9.84436283e+12
x_V77_Phase0    1.95897293e-01 +/- 7.55436988e+12
x_V78_Phase0    6.97934736e-01 +/- 8.66886844e+12
x_V79_Phase0    3.02064916e-01 +/- 7.82634068e+12
x_V7_Phase0     4.58979165e-01 +/- 8.30889684e+12
x_V82_Phase0    9.68663646e-01 +/- 9.17112950e+12
x_V83_Phase0    3.14025065e-02 +/- 2.15629074e+12
x_V84_Phase0    3.14270645e-02 +/- 1.99362239e+12
x_V85_Phase0    9.68573266e-01 +/- 8.93275698e+12
x_V91_Phase0    3.71260849e-01 +/- 9.28176453e+12
x_V96_Phase0    1.28625671e-01 +/- 5.81367459e+12
x_V97_Phase0    8.71380755e-01 +/- 8.57955362e+12
x_V98_Phase0    3.70876612e-01 +/- 8.31318839e+12
x_V99_Phase0    6.29124124e-01 +/- 8.63335735e+12
x_V9_Phase0     7.84888780e-01 +/- 9.16773352e+12
x_ZR0_Phase0    1.34162231e-03 +/- 8.10742457e+10
x_ZR100_Phase0  5.01606741e-01 +/- 8.26386801e+12
x_ZR101_Phase0  4.98517030e-01 +/- 7.94886284e+12
x_ZR102_Phase0  4.94874294e-01 +/- 7.09079367e+12
x_ZR103_Phase0  5.03361599e-01 +/- 7.42426581e+12
x_ZR104_Phase0  4.70553464e-04 +/- 2.98596039e+10
x_ZR105_Phase0  9.99540345e-01 +/- 7.86091390e+12
x_ZR106_Phase0  9.98054077e-01 +/- 7.74255021e+12
x_ZR107_Phase0  2.10206585e-03 +/- 1.20214896e+11
x_ZR10_Phase0   9.93294549e-01 +/- 6.58860122e+12
x_ZR11_Phase0   6.65585743e-03 +/- 4.41220742e+11
x_ZR12_Phase0   2.76856176e-03 +/- 1.59407880e+11
x_ZR13_Phase0   9.97086630e-01 +/- 7.61528446e+12
x_ZR14_Phase0   5.03862183e-01 +/- 7.78468825e+12
x_ZR15_Phase0   4.96680357e-01 +/- 7.52318221e+12
x_ZR16_Phase0   3.37677957e-01 +/- 6.18424411e+12
x_ZR17_Phase0   6.62502487e-01 +/- 6.93572521e+12
x_ZR18_Phase0   6.62328434e-01 +/- 7.84014021e+12
x_ZR19_Phase0   3.37691089e-01 +/- 7.06996567e+12
x_ZR1_Phase0    9.98745741e-01 +/- 7.79147794e+12
x_ZR20_Phase0   8.34578907e-01 +/- 8.30929432e+12
x_ZR21_Phase0   1.65375259e-01 +/- 6.33337379e+12
x_ZR22_Phase0   1.63939242e-01 +/- 6.18868736e+12
x_ZR23_Phase0   8.35984040e-01 +/- 7.65990954e+12
x_ZR24_Phase0   4.99709930e-01 +/- 6.93458004e+12
x_ZR25_Phase0   1.00000482e+00 +/- 8.66784218e+12
x_ZR26_Phase0   5.00073118e-01 +/- 8.89529535e+12
