Results written: Thu Mar  5 15:27:04 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01684734
Contributions  0.01684734
Restraints     0.00000000
Chi2           3.45586848
Reduced Chi2   0.00517346
Rw             0.12979731

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_V85_Phase0    9.68637151e-01 +/- 9.27023666e+12
x_V91_Phase0    3.71242778e-01 +/- 9.50800022e+12
x_V96_Phase0    1.28616247e-01 +/- 5.89746301e+12
x_V97_Phase0    8.71393352e-01 +/- 9.21469230e+12
x_V98_Phase0    3.70797824e-01 +/- 8.63063583e+12
x_V99_Phase0    6.29202453e-01 +/- 9.00894005e+12
x_V9_Phase0     7.84965988e-01 +/- 9.45101718e+12
x_ZR0_Phase0    1.10298689e-03 +/- 8.21720608e+10
x_ZR100_Phase0  5.01627696e-01 +/- 8.14516765e+12
x_ZR101_Phase0  4.98597024e-01 +/- 8.51284804e+12
x_ZR102_Phase0  4.94956360e-01 +/- 7.06828018e+12
x_ZR103_Phase0  5.02971955e-01 +/- 7.79692370e+12
x_ZR104_Phase0  3.44276914e-04 +/- 2.45495952e+10
x_ZR105_Phase0  9.99608379e-01 +/- 8.31871886e+12
x_ZR106_Phase0  9.98107269e-01 +/- 7.66390832e+12
x_ZR107_Phase0  2.12736412e-03 +/- 1.40884705e+11
x_ZR10_Phase0   9.93580098e-01 +/- 7.14288481e+12
x_ZR11_Phase0   6.66935339e-03 +/- 4.44038213e+11
x_ZR12_Phase0   2.73953591e-03 +/- 1.86574341e+11
x_ZR13_Phase0   9.97301627e-01 +/- 8.06669887e+12
x_ZR14_Phase0   5.03743950e-01 +/- 8.27674495e+12
x_ZR15_Phase0   4.96971039e-01 +/- 7.81170148e+12
x_ZR16_Phase0   3.37584472e-01 +/- 6.77349039e+12
x_ZR17_Phase0   6.62780847e-01 +/- 7.95240319e+12
x_ZR18_Phase0   6.62464170e-01 +/- 7.51409259e+12
x_ZR19_Phase0   3.37475419e-01 +/- 7.29170437e+12
x_ZR1_Phase0    9.99152900e-01 +/- 7.48413472e+12
x_ZR20_Phase0   8.34415200e-01 +/- 8.65745527e+12
x_ZR21_Phase0   1.65374709e-01 +/- 6.47580603e+12
x_ZR22_Phase0   1.63941599e-01 +/- 6.09633678e+12
x_ZR23_Phase0   8.35924146e-01 +/- 8.02509183e+12
x_ZR24_Phase0   4.99632126e-01 +/- 8.03697444e+12
x_ZR25_Phase0   9.99962725e-01 +/- 8.59204983e+12
x_ZR26_Phase0   5.00061814e-01 +/- 8.83857282e+12
