Results written: Mon Mar  2 07:36:39 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01224365
Contributions  0.01224365
Restraints     0.00000000
Chi2           2.31512012
Reduced Chi2   0.00784786
Rw             0.11065101

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_ZR65_Phase0   2.05700007e-03 +/- 2.36058495e+09
x_ZR66_Phase0   5.05377000e-01 +/- 1.95227814e+11
x_ZR67_Phase0   4.94230000e-01 +/- 1.88580857e+11
x_ZR68_Phase0   1.60997000e-01 +/- 1.19933152e+11
x_ZR69_Phase0   8.39281000e-01 +/- 1.85663324e+11
x_ZR6_Phase0    5.00339000e-01 +/- 2.09527966e+11
x_ZR70_Phase0   6.59957000e-01 +/- 2.15235664e+11
x_ZR71_Phase0   3.40145000e-01 +/- 1.82781313e+11
x_ZR72_Phase0   3.40727000e-01 +/- 2.05504200e+11
x_ZR73_Phase0   6.59445000e-01 +/- 2.00739995e+11
x_ZR74_Phase0   8.41912000e-01 +/- 1.98905572e+11
x_ZR75_Phase0   1.58193000e-01 +/- 1.27277882e+11
x_ZR76_Phase0   3.33503000e-01 +/- 1.89214419e+11
x_ZR77_Phase0   6.66649000e-01 +/- 2.14413569e+11
x_ZR78_Phase0   6.68474000e-01 +/- 2.03493806e+11
x_ZR79_Phase0   3.31769000e-01 +/- 1.83551604e+11
x_ZR7_Phase0    4.99742000e-01 +/- 2.21697428e+11
x_ZR80_Phase0   8.32986000e-01 +/- 2.04723268e+11
x_ZR81_Phase0   1.67061000e-01 +/- 1.34533676e+11
x_ZR82_Phase0   1.69297000e-01 +/- 1.34189667e+11
x_ZR83_Phase0   8.30806000e-01 +/- 2.01054449e+11
x_ZR84_Phase0   1.64607000e-01 +/- 1.32330950e+11
x_ZR85_Phase0   8.35228000e-01 +/- 2.10120785e+11
x_ZR86_Phase0   3.35254000e-01 +/- 1.85355456e+11
x_ZR87_Phase0   6.65443000e-01 +/- 1.95928006e+11
x_ZR88_Phase0   8.35397000e-01 +/- 2.10498017e+11
x_ZR89_Phase0   1.64457000e-01 +/- 1.34641555e+11
x_ZR8_Phase0    4.93742000e-01 +/- 1.94571298e+11
x_ZR90_Phase0   6.63579000e-01 +/- 2.13635543e+11
x_ZR91_Phase0   3.36393000e-01 +/- 1.86254228e+11
x_ZR92_Phase0   1.73638000e-01 +/- 1.54006592e+11
x_ZR93_Phase0   8.26397000e-01 +/- 2.05415734e+11
x_ZR94_Phase0   6.67914000e-01 +/- 1.99239915e+11
x_ZR95_Phase0   3.32516000e-01 +/- 1.81749525e+11
x_ZR96_Phase0   3.26769000e-01 +/- 1.74741391e+11
x_ZR97_Phase0   6.73311000e-01 +/- 1.88288484e+11
x_ZR98_Phase0   8.29025000e-01 +/- 2.26305255e+11
x_ZR99_Phase0   1.71352000e-01 +/- 1.41106013e+11
x_ZR9_Phase0    5.06314000e-01 +/- 2.04211422e+11
y_O0_Phase0     3.47522000e-01 +/- 2.20826997e+11
y_O100_Phase0   8.71827000e-01 +/- 2.70579566e+11
y_O101_Phase0   1.28151000e-01 +/- 1.25000792e+11
y_O102_Phase0   1.29309000e-01 +/- 1.21169809e+11
y_O120_Phase0   4.34122000e-01 +/- 2.23839174e+11
y_O122_Phase0   5.73753000e-01 +/- 1.84427700e+11
y_O124_Phase0   9.34518000e-01 +/- 2.42050624e+11
y_O126_Phase0   6.50380000e-02 +/- 6.81941845e+10
y_O144_Phase0   2.71399000e-01 +/- 1.95093100e+11
y_O146_Phase0   7.28538000e-01 +/- 2.55454815e+11
y_O148_Phase0   7.69722000e-01 +/- 2.58235765e+11
y_O150_Phase0   2.28565000e-01 +/- 1.81711446e+11
y_O151_Phase0   7.71533000e-01 +/- 2.68366952e+11
y_O168_Phase0   1.90008000e-01 +/- 1.81675656e+11
y_O170_Phase0   8.09628000e-01 +/- 2.53442214e+11
y_O172_Phase0   6.90781000e-01 +/- 2.61471300e+11
y_O174_Phase0   3.08488000e-01 +/- 2.27393945e+11
y_O175_Phase0   6.90804000e-01 +/- 2.64458704e+11
y_O181_Phase0   7.41830000e-02 +/- 7.89221539e+10
y_O182_Phase0   5.75128000e-01 +/- 2.58192325e+11
y_O189_Phase0   8.68642000e-01 +/- 2.73857311e+11
y_O192_Phase0   4.03365000e-01 +/- 2.38211271e+11
y_O193_Phase0   5.96754000e-01 +/- 2.57790877e+11
