Results written: Sun Feb 22 06:01:07 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01700831
Contributions  0.01697609
Restraints     0.00003223
Chi2           2.75772140
Reduced Chi2   0.00065133
Rw             0.13040477

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O311_Phase0   3.17019971e-01 +/- 5.22709272e+13
x_O312_Phase0   3.48410290e-01 +/- 5.28810918e+13
x_O313_Phase0   6.51591194e-01 +/- 5.30386767e+13
x_O314_Phase0   6.52730009e-01 +/- 5.29553707e+13
x_O315_Phase0   3.47266666e-01 +/- 5.22978368e+13
x_O316_Phase0   8.47243618e-01 +/- 5.32901487e+13
x_O317_Phase0   1.52756646e-01 +/- 4.94283613e+13
x_O318_Phase0   1.50286941e-01 +/- 5.10066622e+13
x_O319_Phase0   8.49712439e-01 +/- 5.30824720e+13
x_O31_Phase0    4.76371799e-01 +/- 5.30251843e+13
x_O320_Phase0   3.58482828e-01 +/- 5.24993022e+13
x_O321_Phase0   6.41517163e-01 +/- 5.31141701e+13
x_O322_Phase0   1.41418983e-01 +/- 5.00767187e+13
x_O323_Phase0   8.58580412e-01 +/- 5.35791887e+13
x_O324_Phase0   6.40940669e-01 +/- 5.31581288e+13
x_O325_Phase0   3.59058206e-01 +/- 5.25379527e+13
x_O326_Phase0   8.58659998e-01 +/- 5.33055905e+13
x_O327_Phase0   1.41339868e-01 +/- 4.90412458e+13
x_O328_Phase0   4.37643521e-01 +/- 5.27098247e+13
x_O329_Phase0   5.62357742e-01 +/- 5.35778098e+13
x_O32_Phase0    2.59945289e-02 +/- 2.19926487e+13
x_O330_Phase0   9.35533913e-01 +/- 5.31686319e+13
x_O331_Phase0   6.44650421e-02 +/- 3.95511446e+13
x_O332_Phase0   6.27743024e-02 +/- 3.50670592e+13
x_O333_Phase0   9.37224459e-01 +/- 5.37302283e+13
x_O334_Phase0   5.60272674e-01 +/- 5.44413310e+13
x_O335_Phase0   4.39729039e-01 +/- 5.44699816e+13
x_O336_Phase0   3.78137220e-01 +/- 5.28754403e+13
x_O337_Phase0   6.21864124e-01 +/- 5.32000704e+13
x_O338_Phase0   6.21963941e-01 +/- 5.33671531e+13
x_O339_Phase0   3.78032587e-01 +/- 5.29726548e+13
x_O33_Phase0    9.74004827e-01 +/- 5.34857077e+13
x_O340_Phase0   8.78089608e-01 +/- 5.34617601e+13
x_O341_Phase0   1.21908601e-01 +/- 4.83803792e+13
x_O342_Phase0   1.21656046e-01 +/- 5.04152531e+13
x_O343_Phase0   8.78342546e-01 +/- 5.32796236e+13
x_O344_Phase0   1.07946464e-02 +/- 8.30900483e+12
x_O345_Phase0   9.89208520e-01 +/- 5.31144909e+13
x_O346_Phase0   4.89265962e-01 +/- 5.27021910e+13
x_O347_Phase0   5.10732355e-01 +/- 5.27773739e+13
x_O348_Phase0   9.88350088e-01 +/- 5.39728370e+13
x_O349_Phase0   1.16485747e-02 +/- 1.06442666e+13
x_O34_Phase0    5.26177684e-01 +/- 5.37106050e+13
x_O350_Phase0   5.09306715e-01 +/- 5.28391079e+13
x_O351_Phase0   4.90693795e-01 +/- 5.27560158e+13
x_O352_Phase0   9.60449457e-02 +/- 4.56972781e+13
x_O353_Phase0   9.03951201e-01 +/- 5.29155763e+13
x_O354_Phase0   5.96878880e-01 +/- 5.26445686e+13
x_O355_Phase0   4.03119240e-01 +/- 5.23505408e+13
x_O356_Phase0   4.06332824e-01 +/- 5.24434846e+13
x_O357_Phase0   5.93666632e-01 +/- 5.28091531e+13
x_O358_Phase0   8.99965741e-01 +/- 5.33655464e+13
