Results written: Sat Feb  7 09:43:43 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01781538
Contributions  0.01742556
Restraints     0.00038982
Chi2           2.50986516
Reduced Chi2   0.00868465
Rw             0.13344186

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_V124_Phase0   8.67261851e-01 +/- 5.01261190e+13
x_V125_Phase0   1.32803271e-01 +/- 3.15887214e+13
x_V126_Phase0   6.29186149e-01 +/- 3.91857846e+13
x_V127_Phase0   3.70620580e-01 +/- 3.83194406e+13
x_V12_Phase0    2.80759841e-01 +/- 4.21760241e+13
x_V130_Phase0   8.74026209e-01 +/- 5.00423417e+13
x_V131_Phase0   1.25989938e-01 +/- 2.92258327e+13
x_V132_Phase0   1.25351008e-01 +/- 3.06504429e+13
x_V133_Phase0   8.74677332e-01 +/- 5.00459429e+13
x_V138_Phase0   7.94715899e-01 +/- 4.97663959e+13
x_V139_Phase0   2.05259121e-01 +/- 3.87872638e+13
x_V13_Phase0    7.19190375e-01 +/- 4.94120011e+13
x_V140_Phase0   7.03805099e-01 +/- 5.06055359e+13
x_V141_Phase0   2.96162387e-01 +/- 4.26631683e+13
x_V144_Phase0   2.84746033e-02 +/- 7.81335744e+12
x_V145_Phase0   9.71428805e-01 +/- 4.91076720e+13
x_V146_Phase0   4.76262146e-01 +/- 3.78355372e+13
x_V147_Phase0   5.23717472e-01 +/- 3.88330783e+13
x_V148_Phase0   9.80823683e-01 +/- 2.85833365e+13
x_V149_Phase0   1.91543439e-02 +/- 5.67085779e+12
x_V150_Phase0   5.29038597e-01 +/- 4.98542084e+13
x_V151_Phase0   4.70713053e-01 +/- 3.56730780e+13
x_V153_Phase0   6.28351009e-01 +/- 4.98995281e+13
x_V158_Phase0   6.31521973e-01 +/- 4.61730880e+13
x_V161_Phase0   9.53769862e-01 +/- 4.92625138e+13
x_V168_Phase0   3.61086566e-02 +/- 1.07289104e+13
x_V169_Phase0   9.63633517e-01 +/- 4.11279629e+13
x_V170_Phase0   4.59010087e-01 +/- 3.87885697e+13
x_V171_Phase0   5.40941273e-01 +/- 3.93960263e+13
x_V172_Phase0   9.64739552e-01 +/- 3.12689237e+13
x_V173_Phase0   3.52100920e-02 +/- 9.63307916e+12
x_V174_Phase0   5.36584829e-01 +/- 3.45098603e+13
x_V175_Phase0   4.63428945e-01 +/- 3.73029361e+13
x_V185_Phase0   6.30989482e-01 +/- 5.01133716e+13
x_V192_Phase0   2.10746294e-01 +/- 3.16785910e+13
x_V193_Phase0   7.89203385e-01 +/- 4.45756826e+13
