Results written: Wed Feb 11 20:22:22 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02065118
Contributions  0.02050356
Restraints     0.00014763
Chi2           2.31408499
Reduced Chi2   0.00377502
Rw             0.14368543

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O99_Phase0    5.97399311e-01 +/- 4.29870218e+13
x_V0_Phase0     4.42237968e-02 +/- 1.23509646e+13
x_V100_Phase0   8.74854969e-01 +/- 2.82318005e+13
x_V101_Phase0   1.25865568e-01 +/- 2.38068315e+13
x_V102_Phase0   6.29783195e-01 +/- 3.06978022e+13
x_V103_Phase0   3.70555138e-01 +/- 3.74415962e+13
x_V10_Phase0    7.12421419e-01 +/- 4.23630579e+13
x_V115_Phase0   2.96728255e-01 +/- 3.76929474e+13
x_V119_Phase0   7.94615155e-01 +/- 4.29563522e+13
x_V120_Phase0   1.35785456e-01 +/- 2.59467683e+13
x_V121_Phase0   8.64070971e-01 +/- 2.96361039e+13
x_V122_Phase0   3.65362848e-01 +/- 4.00808946e+13
x_V123_Phase0   6.34422403e-01 +/- 4.22216976e+13
x_V124_Phase0   8.67196097e-01 +/- 4.17442035e+13
x_V125_Phase0   1.32996552e-01 +/- 2.92511684e+13
x_V126_Phase0   6.28747337e-01 +/- 3.20435109e+13
x_V127_Phase0   3.70840042e-01 +/- 3.19512847e+13
x_V12_Phase0    2.80680236e-01 +/- 3.86986355e+13
x_V130_Phase0   8.74706100e-01 +/- 4.17670190e+13
x_V131_Phase0   1.25489280e-01 +/- 2.85101555e+13
x_V132_Phase0   1.24581461e-01 +/- 2.96348508e+13
x_V133_Phase0   8.75526602e-01 +/- 4.22376841e+13
x_V138_Phase0   7.94775331e-01 +/- 4.19427279e+13
x_V139_Phase0   2.05163236e-01 +/- 3.58694828e+13
x_V13_Phase0    7.19258343e-01 +/- 4.16705296e+13
x_V140_Phase0   7.03322707e-01 +/- 4.18819476e+13
x_V141_Phase0   2.96623781e-01 +/- 3.79246175e+13
x_V144_Phase0   2.74744352e-02 +/- 8.15532120e+12
x_V145_Phase0   9.71759971e-01 +/- 4.09660026e+13
x_V146_Phase0   4.76907030e-01 +/- 3.20367433e+13
x_V147_Phase0   5.23029556e-01 +/- 3.26775358e+13
x_V148_Phase0   9.81949448e-01 +/- 2.15204009e+13
x_V149_Phase0   1.79339376e-02 +/- 5.32177334e+12
x_V14_Phase0    7.89872592e-01 +/- 4.25118187e+13
x_V150_Phase0   5.29177327e-01 +/- 4.20313631e+13
x_V151_Phase0   4.70485339e-01 +/- 2.98828016e+13
x_V153_Phase0   6.28230626e-01 +/- 4.24352728e+13
x_V158_Phase0   6.31313748e-01 +/- 3.82384755e+13
x_V161_Phase0   9.53647069e-01 +/- 4.17913722e+13
x_V168_Phase0   3.54728784e-02 +/- 1.08856458e+13
x_V169_Phase0   9.64111614e-01 +/- 3.26728751e+13
x_V170_Phase0   4.59840896e-01 +/- 3.25405203e+13
x_V171_Phase0   5.40066604e-01 +/- 3.29379619e+13
x_V172_Phase0   9.66604724e-01 +/- 2.46954186e+13
x_V173_Phase0   3.31449348e-02 +/- 1.02140290e+13
x_V174_Phase0   5.35812445e-01 +/- 3.41483854e+13
x_V175_Phase0   4.64106806e-01 +/- 3.35147169e+13
x_V185_Phase0   6.31053665e-01 +/- 4.20622583e+13
x_V192_Phase0   2.11104727e-01 +/- 3.21808627e+13
x_V193_Phase0   7.88758319e-01 +/- 3.58718636e+13
x_V194_Phase0   2.81517433e-01 +/- 2.88501006e+13
x_V195_Phase0   7.17688849e-01 +/- 4.29427955e+13
x_V196_Phase0   7.86075569e-01 +/- 4.22633545e+13
x_V197_Phase0   2.14245987e-01 +/- 3.11951617e+13
x_V198_Phase0   7.14406560e-01 +/- 4.16580085e+13
x_V199_Phase0   2.84329045e-01 +/- 3.82595377e+13
x_V19_Phase0    1.22941516e-01 +/- 2.89866239e+13
x_V1_Phase0     9.55794627e-01 +/- 4.24893096e+13
x_V201_Phase0   6.99583745e-01 +/- 4.19918174e+13
x_V203_Phase0   2.08236046e-01 +/- 3.23088102e+13
x_V204_Phase0   2.05266779e-01 +/- 3.55085927e+13
x_V206_Phase0   7.06777134e-01 +/- 4.15993160e+13
x_V207_Phase0   2.92797061e-01 +/- 3.32967463e+13
x_V208_Phase0   4.59248634e-01 +/- 4.08703809e+13
x_V20_Phase0    6.20782983e-01 +/- 4.21103994e+13
x_V212_Phase0   9.64627970e-01 +/- 4.11343862e+13
x_V213_Phase0   3.52200063e-02 +/- 9.68058694e+12
x_V214_Phase0   4.14473830e-02 +/- 1.33847474e+13
x_V22_Phase0    3.75430346e-01 +/- 4.05737269e+13
x_V26_Phase0    1.20445075e-01 +/- 2.51744238e+13
x_V27_Phase0    8.79634004e-01 +/- 3.44709271e+13
x_V28_Phase0    6.18909131e-01 +/- 4.22358999e+13
x_V29_Phase0    3.81020906e-01 +/- 4.07854702e+13
x_V2_Phase0     4.52419199e-01 +/- 3.58729801e+13
x_V34_Phase0    4.64424735e-01 +/- 2.93359401e+13
x_V35_Phase0    5.35798515e-01 +/- 3.73309340e+13
x_V37_Phase0    4.15597192e-02 +/- 1.09272670e+13
x_V3_Phase0     5.47847012e-01 +/- 3.66984210e+13
x_V42_Phase0    1.97489622e-01 +/- 2.82627254e+13
x_V43_Phase0    8.02083026e-01 +/- 3.80160779e+13
x_V45_Phase0    2.99752057e-01 +/- 3.95627660e+13
x_V48_Phase0    3.76380488e-02 +/- 1.03282782e+13
x_V49_Phase0    9.62049959e-01 +/- 2.55286753e+13
x_V4_Phase0     9.59382819e-01 +/- 4.09084065e+13
x_V50_Phase0    4.61951775e-01 +/- 2.68554035e+13
x_V51_Phase0    5.37692433e-01 +/- 1.19938171e+13
x_V52_Phase0    9.63987626e-01 +/- 2.47143025e+13
x_V53_Phase0    3.65031547e-02 +/- 1.08335177e+13
x_V54_Phase0    5.37064608e-01 +/- 3.34054180e+13
x_V55_Phase0    4.62972449e-01 +/- 3.28434664e+13
x_V5_Phase0     4.06124652e-02 +/- 1.14560479e+13
x_V61_Phase0    7.03507010e-01 +/- 3.78583876e+13
x_V64_Phase0    4.57601820e-01 +/- 4.05539102e+13
x_V67_Phase0    4.60002623e-01 +/- 4.14341568e+13
x_V6_Phase0     5.40321438e-01 +/- 4.23191381e+13
x_V72_Phase0    2.00521200e-01 +/- 2.70976513e+13
