Results written: Fri Mar  6 16:06:21 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01738092
Contributions  0.01738092
Restraints     0.00000000
Chi2           3.60449438
Reduced Chi2   0.00539595
Rw             0.13183671

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O732_Phase0   1.99447118e-01 +/- 8.39860227e+12
x_O733_Phase0   8.00553400e-01 +/- 1.03885735e+13
x_O734_Phase0   2.99460205e-01 +/- 9.15923115e+12
x_O735_Phase0   7.00539827e-01 +/- 1.03085499e+13
x_O736_Phase0   7.98925829e-01 +/- 1.06933572e+13
x_O737_Phase0   2.01074390e-01 +/- 8.43631908e+12
x_O738_Phase0   7.01115592e-01 +/- 1.06586833e+13
x_O739_Phase0   2.98865554e-01 +/- 9.49388753e+12
x_O73_Phase0    9.73006775e-01 +/- 1.04952630e+13
x_O744_Phase0   2.54932204e-01 +/- 8.93174530e+12
x_O745_Phase0   7.45067351e-01 +/- 1.04483814e+13
x_O746_Phase0   7.55674244e-01 +/- 1.04723018e+13
x_O747_Phase0   2.44281116e-01 +/- 8.99228169e+12
x_O74_Phase0    4.71645607e-01 +/- 1.00979260e+13
x_O75_Phase0    5.28353475e-01 +/- 1.01243598e+13
x_O76_Phase0    9.72626818e-01 +/- 1.04404729e+13
x_O77_Phase0    2.73774905e-02 +/- 1.78076307e+12
x_O78_Phase0    5.26535506e-01 +/- 1.01272199e+13
x_O79_Phase0    4.73516847e-01 +/- 9.91224524e+12
x_O7_Phase0     4.59408536e-01 +/- 1.01311030e+13
x_O96_Phase0    9.81431364e-02 +/- 5.45335143e+12
x_O97_Phase0    9.01857725e-01 +/- 1.01183329e+13
x_O98_Phase0    4.02492471e-01 +/- 9.84106481e+12
x_O99_Phase0    5.97507338e-01 +/- 1.01674850e+13
x_V0_Phase0     4.33187921e-02 +/- 2.81812914e+12
x_V100_Phase0   8.73400657e-01 +/- 8.53919558e+12
x_V101_Phase0   1.26817195e-01 +/- 6.49130441e+12
x_V102_Phase0   6.29237188e-01 +/- 9.04277405e+12
x_V103_Phase0   3.70460077e-01 +/- 9.43101478e+12
x_V119_Phase0   7.94525571e-01 +/- 1.05388138e+13
x_V120_Phase0   1.34363822e-01 +/- 6.11128922e+12
x_V121_Phase0   8.65633942e-01 +/- 8.81671867e+12
x_V122_Phase0   3.65983606e-01 +/- 9.14345211e+12
x_V123_Phase0   6.33569736e-01 +/- 1.03403977e+13
x_V124_Phase0   8.67466816e-01 +/- 1.05151417e+13
x_V125_Phase0   1.32532264e-01 +/- 6.91878836e+12
x_V126_Phase0   6.29236058e-01 +/- 8.61505083e+12
x_V127_Phase0   3.70695783e-01 +/- 8.34270680e+12
x_V12_Phase0    2.80921360e-01 +/- 9.18675976e+12
x_V131_Phase0   1.26031928e-01 +/- 6.91984596e+12
x_V132_Phase0   1.25949701e-01 +/- 6.35860350e+12
x_V133_Phase0   8.74052437e-01 +/- 1.03967958e+13
x_V138_Phase0   7.94533749e-01 +/- 1.03938104e+13
x_V139_Phase0   2.05501322e-01 +/- 8.16181954e+12
x_V13_Phase0    7.19077474e-01 +/- 1.02591244e+13
x_V140_Phase0   7.04000392e-01 +/- 1.04003287e+13
x_V141_Phase0   2.95965319e-01 +/- 9.33275096e+12
x_V144_Phase0   2.85093695e-02 +/- 1.74421575e+12
x_V145_Phase0   9.71493918e-01 +/- 8.10082512e+12
x_V146_Phase0   4.75973837e-01 +/- 8.76500669e+12
x_V147_Phase0   5.24014574e-01 +/- 8.83284111e+12
x_V148_Phase0   9.79025660e-01 +/- 7.93483717e+12
x_V149_Phase0   2.09680583e-02 +/- 1.26396224e+12
x_V150_Phase0   5.29015875e-01 +/- 8.74886070e+12
x_V151_Phase0   4.70972885e-01 +/- 8.59662850e+12
x_V168_Phase0   3.70122810e-02 +/- 2.49296422e+12
x_V169_Phase0   9.62983182e-01 +/- 8.18952124e+12
x_V170_Phase0   4.57736157e-01 +/- 8.60608589e+12
x_V171_Phase0   5.42262378e-01 +/- 8.70991696e+12
x_V172_Phase0   9.62703272e-01 +/- 8.78911350e+12
x_V173_Phase0   3.71904801e-02 +/- 2.37441423e+12
x_V174_Phase0   5.37516152e-01 +/- 9.04687242e+12
x_V175_Phase0   4.62836687e-01 +/- 8.80357736e+12
x_V192_Phase0   2.10219320e-01 +/- 7.72767436e+12
